,ProductCode,Name,Category,Barcode,PriceTier1,Status
141,786992212248,Admiral Rodney Formidable 750ml,Rum,786992212248,105.99,ACTIVE
144,786992212101,Admiral Rodney Princessa 750ml,Rum,786992212248,64.99,ACTIVE
189,871952000574,Alipus Aniversario XX San Juan 750ml,Mezcal,871952000574,126.99,ACTIVE
190,8719520006666,Alipus Aniversario XX San Miguel 750ml,Mezcal,871952000574,126.99,ACTIVE
264,897114001036,Ancient Peaks Merlot 750ml,Red New World,897114001036,19.99,ACTIVE
456,1230,Aviation Gin,Gin,857050005079,41.99,DEPRECATED
457,857050005079,Aviation Gin 1L,Gin,857050005079,41.99,ACTIVE
550,852757002611,Balcones True Blue *Shaker Barrel* #19149 750ml,Whiskey Bourbon/American,852757002611,64.99,ACTIVE
551,85275700261,Balcones True Blue *Sourced Barrel* #15165 750ml,Whiskey Bourbon/American,852757002611,64.99,ACTIVE
563,083664858415,Balvenie 21y Portwood 750ml,Whiskey Scotch,083664858415,289.99,ACTIVE
841,609132538889,Bittermens Hiver Amer 375ml,Amaro,0609132538889,14.99,ACTIVE
1223,087000005525,Bulleit Bourbon 750ml,Whiskey Bourbon/American,087000005525,29.99,ACTIVE
1224,87000005525,Bulleit Bourbon Tattoo Edition 750ml,Whiskey Bourbon/American,087000005525,29.99,DEPRECATED
1278,4024,Cage Free Lemon,Fruit,4024,1.0,ACTIVE
1468,7500462197315,Chacolo Vol.1 Ixtero Amarillo 750ml,Mezcal,7500462197315,139.99,ACTIVE
1469,7500462197346,Chacolo Vol.2b Ixtero Amarillo 750ml,Mezcal,7500462197315,139.99,ACTIVE
1784,1118889999,Colette Beaujolais Villages 750ml,Red Beaujolais,0609132538889,15.99,DEPRECATED
1808,865725000105,Community Brewing Helles Cans 6 Pack,Craft Beer,865725000106,10.99,ACTIVE
1815,865725000106,Community Texas Lager 6pk cans,Craft Beer,865725000106,8.99,ACTIVE
1900,9120008894003,Crazy Creatures 750mL,White,9120008894003,21.99,ACTIVE
1938,860084000101,Crude Big Bear Bitters 4oz,Bitters,860084000101,18.99,ACTIVE
1940,860084000163,Crude Lindsay 4oz,Bitters,860084000101,18.99,ACTIVE
1942,860084000132,Crude Pooter 4oz,Bitters,860084000101,18.99,ACTIVE
2569,080925100092,El Jolgorio Arroqueno 750ml,Mezcal,080925100092,189.99,ACTIVE
2588,860004996316,El Jolgorio Todos Santos Tobasiche 750ml,Mezcal,080925100092,199.99,ACTIVE
2711,850018968157,Fair State Co-op Printing Money $$$ 4/16oz,Craft Beer,850018968157,10.99,ACTIVE
2712,850018968102,Fair State Co-op Sastrugi Hazy IPA 4/16oz,Craft Beer,850018968157,13.99,ACTIVE
2986,019962849831,Friends & Allies Blackberry Berliner Weisse 12oz 6pk cans,Craft Beer,019962849831,10.99,ACTIVE
2993,19962849831,Friends & Allies Urban Chicken Cans 6 Pack,Craft Beer,019962849831,9.99,ACTIVE
3116,5060399689137,Glendronach Kingsman Edition 1989 750ml,Whiskey Scotch,083664858415,1299.99,ACTIVE
3152,12345000000921,Glenmorangie 10y 50ml,Whiskey Scotch,1234500000092,3.99,DEPRECATED
3159,1234500000092,Glenmorangie Lasanta 50ml,Whiskey Scotch,1234500000092,4.99,ACTIVE
3164,12345000000922,Glenmorangie Quinta Ruban 50ml,Whiskey Scotch,1234500000092,4.99,ACTIVE
3292,080480280024,Grey Goose 750ml,Vodka,080480280024,35.99,ACTIVE
3306,80280024,Grey Goose Riviera 750 ml,Vodka,080480280024,0.0,DEPRECATED
3763,090478410074,Jarritos Grapefruit 12.5oz,Non Alcoholic Beverage,090478410074,1.99,ACTIVE
3764,90478410074,Jarritos Grapefruit 12.5oz,Non Alcoholic Beverage,090478410074,1.5,DEPRECATED
4091,09058737,Kool Blue 100s,Tobacco,09058737,7.5,ACTIVE
4497,04331237,Lucky Strike,Tobacco,09058737,10.0,ACTIVE
5315,867521000274,Ovum Old Love 750ml,White,897114001036,19.99,ACTIVE
5439,111898776,Pax 750ml,Red,9120008894003,29.99,DEPRECATED
6246,873094005998,Signatory Ardmore 2009 750ml,Whiskey Scotch,873094006322,69.99,ACTIVE
6251,873094006322,Signatory Glenlossie Hogshead 2008 750ml,Whiskey Scotch,873094006322,69.99,ACTIVE
6354,38083808,Southold Cup of Ambition 750ml,Orange Wine,36083608,36.99,ACTIVE
6368,36083608,Southold Lovers and Dreamers 750ml,Red New World,36083608,31.99,ACTIVE
6372,20022002,Southold Time Of Our Lives 750ml,Red New World,10011001,16.99,ACTIVE
6373,10011001,Southold Weight Of The Moment 750ml,Red New World,10011001,16.99,ACTIVE
6465,851088007135,Still Austin Bourbon 750ml,Whiskey Bourbon/American,851088007135,39.99,DEPRECATED
6466,8510880071351,Still Austin Bourbon Eberly 750ml,Whiskey Bourbon/American,851088007135,40.99,ACTIVE
6729,1111116789,The Vegetable Lamb 750ml,White,9120008894003,35.99,ACTIVE
6824,854125003091,Tres Agaves Bloody Mary Mix 1L,Mixer,854125003039,8.99,ACTIVE
6825,854125003039,Tres Agaves Margarita Mix 1L,Mixer,854125003039,8.99,ACTIVE
6958,4000,Vegan Oranges,Fruit,4024,1.5,ACTIVE
7191,856282005314,Widow Jane 10yr 750ml,Whiskey Bourbon/American,856282005314,79.99,ACTIVE
7194,856282005918,Widow Jane Lucky Thirteen 750ml,Whiskey Bourbon/American,856282005314,99.99,ACTIVE
